,会社名,給与,初年度年収
0,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,"固定報酬時間額 2,000円 +（インセンティブ） ◎毎月25日締めで当月末払いも可能 例）7月26日〜8月25日…",500万円～1100万円
1,株式会社ＫＯＧＡＯ | ★芸能人も多数来店 ★メディアで話題のSpeed小顔,月給24万円〜40万円＋手当て＋業績給 ★業界最高水準の給与★ 20代前半で月収80万円以上の高収入も可能…,350万円～600万円
2,株式会社サーバントップ | ★直行直帰OK★インセン賞与年2回｜大阪府緊急雇用対策に賛同,◆月給：35万円〜＋インセンティブ賞与年2回 ※あなたの経験・年齢を考慮のうえ、当社規定により優遇しま…,500万円～950万円
3,UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
4,リベル株式会社 | ★急成長中の不動産ベンチャー ★面接1回 ★高率インセンティブ,月給25万円〜 ＋ インセンティブ ＋ 決算賞与 ※経験・スキル等を考慮し当社規定により決定します 上記給…,300万円～1000万円
5,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
6,株式会社リプロ | ◇年間休日120日／完全週休2日制 ◇未経験でも月給30万円～,"月給30万円〜50万円＋インセンティブ賞与年2回 ※固定残業代55時間分／88,869円〜を含む。超過分別途支給…",500万円～1000万円
7,株式会社フジナガ | 【創業40周年】全国展開する鳥害対策業界のトップクラスメーカー,■月給24万円〜31万円+インセンティブ(歩合)＋諸手当＋賞与(年2回)＋決算賞与 ※関東支店・横浜営業所勤…,350万円～550万円
8,インターギアソリューション株式会社 | 電話が好きであれば採用。（１日150コールと勉強の日々です。）,"固定報酬時間額 2,000円 〜3,500円 ※契約後3ヶ月間は、固定報酬時間額1,400円+インセンティブ 【別途イ…",400万円～1100万円
9,株式会社ハマエンジニアリング | 賞与年3回支給★20代で年収450万円超えも可能／web面接実施中,"月給170,000円〜400,000円 ＋ 賞与年3回 ＋ 各種手当 ※研修期間は約2週間を予定（条件変更無） ※残業…",280万円～400万円
10,クリーンデバイス・テクノロジー株式会社,完全出来高制 1台約1〜2時間で2万1000円の利益が得られるビジネスです サービス販売価格：1台平均3万50…,不明
11,神明株式会社 | #残業月平均20h以下 #賞与年2回 #土日休 #資格取得支援制度有り,月給27万円〜40万円 ＋ 賞与年2回 ※上記に加え、別途毎月1万円の皆勤手当を支給 ※経験や能力を考慮の…,400万円～560万円
12,株式会社AZism | 【横浜家系ラーメン 大和家／田田】業績好調★転居伴う転勤無し,月給26万円以上 ※経験・年齢を考慮の上、優遇いたします。 ※上記の金額には固定残業代20時間相当分（3…,320万円～420万円
13,株式会社タウンハウジング | 【創業から42年★1都3件に111店舗展開中】未経験入社大歓迎！,"◆月給24万5,000円以上 ＋ 充実の手当 ＋ 歩合給 ※経験・年齢を考慮のうえ、当社規定により優遇いたし…",350万円～600万円
14,株式会社グランド1コーポレーション | 入社1年目で年収700万円可／残業ほぼなし／月給25万円～,◆月給25万円〜80万円 ＋ インセンティブ ＋ 各種手当 【モデル年収例】 1620万円／月給50万円＋インセ…,500万円～800万円
