,会社名,給与,初年度年収
1155,株式会社アーキ・ジャパン | 完全週休2日/同期多数/未経験歓迎【大阪府緊急雇用対策に賛同】,◆月給24万1760円〜(一律支給の手当含む)/関東・関西・中部圏 ◆月給21万2020円〜(一律支給の手当含む)/…,350万円～750万円
1156,株式会社コペル | ◆1人暮らし＆資格取得支援あり◆夜勤・介助なし◆有給1分単位OK,"1.児童発達支援管理責任者 月給37万円〜 40H分固定残業代67,100円〜含/超過分別途支給※試用期間6カ月/待…",300万円～500万円
1157,九鉄工業株式会社 | ■年間休日120日以上 ■九州外への転勤なし ■賞与年5.0か月分,月給20万円〜 + 諸手当 ※上記は大卒新卒初任給です。 これまでの経験等に応じて加給・優遇します。 【…,400万円～750万円
1158,キャリアリンク株式会社 | 【 東証一部上場 】★完全週休2日,"月給199,500円〜251,500円＋賞与＋残業代（1分単位で別途全額支給） ＜月収例＞月収246,258円〜310,446…",350万円～650万円
1159,株式会社キッツ | 【東証一部上場】国内外TOPクラスのシェアを誇るバルブメーカー,月給25万円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月（条件は変わりま…,470万円～580万円
1160,ほけんの窓口グループ株式会社 | 転居なし★90％超の先輩が業界未経験スタート！,初期給与　月給23万円〜30万円＋賞与(年2回) ※経験・能力などを考慮のうえ、決定いたします。 ※月10時…,300万円～400万円
1161,株式会社アール・エム | 大阪府緊急雇用対策に賛同｜完全週休2日制・年間休日120日以上,【休日日数に応じて給与体系を選択していただけます】 《1》週休2日制／月給25万円＋インセンティブ ※固…,400万円～700万円
1162,パーソルエクセルHRパートナーズ株式会社 | 残業無｜テレワーク有｜年休120日｜年収400万～可｜社員雇用前提,"◇関東／時給1,400〜1,800円 　⇒ 派遣期間の月収例：28万8,000円 ◇関西／時給1,200〜1,700円 　⇒ 派…",350万円～450万円
1163,電力調査株式会社 | 拡大中の四国で電力・通信インフラを守る／賞与年2回＋決算賞与,"月給：250,000円〜＋諸手当＋賞与年2回＋会社業績により決算賞与 ≪モデル月収≫ 月収26万円／23歳 中途…",400万円～450万円
1164,株式会社オリエンタル・ホーム | ■東証一部上場『飯田グループホールディングス』のグループ企業,月給23万円〜40万円＋インセンティブ 《月給例》 未経験：月給23万円〜35万円 経験者：月給28万円〜40万…,不明
1165,株式会社アメイズ | ［HOTEL AZチェーン］上場企業｜創業108年｜10期以上連続増収,"月給200,000円〜260,000円＋諸手当 ★店舗の売上によってインセンティブも支給！ ※前職の給料を最大限…",不明
