,会社名,給与,初年度年収
28,株式会社グランド1コーポレーション | 入社1年目で年収700万円可／残業ほぼなし／月給25万円～,◆月給25万円〜80万円 ＋ インセンティブ ＋ 各種手当 【モデル年収例】 1620万円／月給50万円＋インセ…,500万円～800万円
29,UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
30,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…,600万円～1000万円
31,株式会社コプロ・エンジニアード | 東証・名証一部上場コプロホールディングスのグループ,月給40万円〜75万円+残業手当(1分単位) ※スキル・年齢・経験・能力を十分に考慮します。 ★残業は1分単…,520万円～940万円
32,株式会社ジーアフター | 【大型店新規オープン】＊千葉県トップクラスの中古車販売店,月給25万円〜 ＋ インセンティブ ※経験や年齢等を考慮し、当社規定により決定致します ※試用期間3ヶ…,400万円～500万円
33,HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・年齢不問！,"【月収にすると約60万円が平均！】月100万円以上稼ぐ方も◎ 売上1,111,617円ー（原価：55,581円＋販管費…",300万円～1000万円
34,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
35,春電株式会社 | 選べる完全週休2日｜年収700万円以上も目指せる｜出張・夜間なし,【給与体系2種／前職給与を保証】 【1】月給32万円〜 【2】月給28万円〜 ※経験・年齢・能力を考慮の上…,400万円～700万円
36,イッセイコンサルタント株式会社 | 国土交通省のパートナー企業◆平均年収600～700万／完全週休2日,月給25万〜60万円 【月給例】 月給25万円／入社1年（27歳） 月給35万円／経験5年（30歳） 月給50万円／…,350万円～850万円
37,神明株式会社 | #残業月平均20h以下 #賞与年2回 #土日休 #資格取得支援制度有り,月給27万円〜40万円 ＋ 賞与年2回 ※上記に加え、別途毎月1万円の皆勤手当を支給 ※経験や能力を考慮の…,400万円～560万円
38,株式会社ガリレオコーポレーション | ☆★完全週休2日制&年間休日117日で、プライベートも充実★☆,月給25万円以上 ★平均月収80万円！ ※経験・年齢・能力を考慮の上、優遇します。 ※試用期間1〜3ヶ月…,500万円～2000万円
39,株式会社九州エネコ | 《年収例／3年目 880万円／3年目 738万円／6年目 1421万円》,"月給27万円 + 歩合給（1件あたり7〜10万円） ★年収1,000万円以上が多数在籍！ ★経験が無い方でも安心し…",400万円～750万円
40,インターギアソリューション株式会社 | 【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,"固定報酬時間額 2,000円 +（インセンティブ） ◎毎月25日締めで当月末払いも可能 例）7月26日〜8月25日…",500万円～1100万円
41,ミタカ不動産株式会社 | ― 転職サイト初掲載 ― 固定給＋最大利益の35%を歩合として支給,【 未経験：月給25万円〜 】【 経験者：月給30万円〜 】 + 年3回歩合を支給 + 年1回のボーナスあり(12月)…,不明
42,株式会社大成社 | 年収平均80万UP／Java 3年経験者：月給例48.75万／年収例585万,月給35万円〜90万円 ※経験、スキル、案件単価等を考慮した上で決定致します。 ★案件単価の75%を給与と…,430万円～1100万円
43,"住友不動産株式会社 | 【東証一部上場】★転勤なし★5人に1人が年収1,000 万円の実績！",月給33万4000円 ※一律手当を含む ※上記には固定残業代：10万6100円/60時間含む。 ※超過分は別途支給 …,400万円～1000万円
44,UTエイム株式会社 | 【東証一部上場グループ】★土日休み可能！年間休日127～190日,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
45,株式会社ビッグモーター | ＼平均年収860万円 ◆ 年収2000万円超の実績あり／,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…,330万円～1500万円
46,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,"【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…",300万円～550万円
47,UTエイム株式会社 | 【東証一部上場グループ】オンライン面接でスムーズな転職も可能,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
48,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,"月給30万円以上＋賞与年2回 ★年収1,000万円突破率は入社3年で30％、5年で60％！ ※経験・スキルを考慮…",390万円～1000万円
49,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
50,株式会社ビッグモーター | 業界No.1の実績＆安定性／転勤なし・好きな街で活躍／面接1回,【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…,300万円～550万円
